time,seconds_elapsed,x,y,z
1772702135050404400,3.552404,0.000374,-0.000025,0.002622
1772702135060453000,3.562453,-0.000973,-0.000728,-0.001781
1772702135070503200,3.572503,-0.002127,0.001618,-0.000809
1772702135080553200,3.582553,-0.001769,0.002502,-0.002364
1772702135090602500,3.592603,-0.002058,-0.002134,-0.000532
1772702135100652300,3.602652,0.000919,-0.001512,0.000535
1772702135110701300,3.612701,0.000636,-0.000191,0.002284
1772702135120751400,3.622751,-0.002535,-0.000452,-0.000012
1772702135130800000,3.632800,0.000333,0.000539,-0.001154
1772702135140850400,3.642850,-0.000874,-0.000386,0.001937
1772702135150899200,3.652899,0.000982,0.000284,0.002224
1772702135160949200,3.662949,0.001432,0.000121,0.001120
1772702135170998300,3.672998,-0.003244,0.000619,-0.002345
1772702135181048300,3.683048,0.002459,0.000067,0.001684
1772702135191097300,3.693097,-0.000178,0.000593,-0.002627
1772702135201147400,3.703147,0.001171,-0.000867,0.002062
1772702135211196200,3.713196,-0.000364,0.000396,0.001623
1772702135221246200,3.723246,0.000447,0.000379,-0.000050
1772702135231295200,3.733295,0.000869,0.000119,-0.001671
1772702135241345300,3.743345,-0.000867,0.000200,0.001277
1772702135251394300,3.753394,-0.001050,0.001633,0.000434
1772702135261444400,3.763444,0.000564,-0.000145,-0.000098
1772702135271493000,3.773493,-0.000265,0.000466,0.001036
1772702135281543200,3.783543,-0.002322,0.000089,-0.001496
1772702135291592400,3.793593,0.000166,-0.001499,-0.001750
1772702135301642200,3.803642,-0.001237,-0.002291,0.000331
1772702135311692300,3.813692,0.001930,0.001717,-0.002280
1772702135321741300,3.823741,-0.001947,-0.000491,-0.001179
1772702135331791400,3.833791,0.000778,0.002301,-0.000514
1772702135341840400,3.843840,0.005811,-0.001094,-0.000223
1772702135351890400,3.853890,-0.001053,-0.001780,-0.000336
1772702135361939200,3.863939,-0.001712,-0.001461,0.001217
1772702135371989200,3.873989,0.000352,-0.000335,-0.000539
1772702135382038300,3.884038,-0.000651,0.000828,-0.003079
1772702135392088000,3.894088,-0.003472,0.000686,0.001628
1772702135402137300,3.904137,-0.001659,-0.001388,-0.000790
1772702135412187400,3.914188,0.001618,0.001376,-0.000440
1772702135422236200,3.924236,-0.001384,-0.001057,-0.001393
1772702135432286200,3.934286,0.000902,0.000639,-0.000463
1772702135442335500,3.944335,-0.000688,-0.002639,-0.000707
1772702135452385300,3.954385,-0.001536,0.000157,0.000569
1772702135462434300,3.964434,0.001518,-0.001071,0.001532
1772702135472484400,3.974484,0.000941,0.001163,-0.002332
1772702135482533000,3.984533,0.000105,-0.000965,-0.001057
1772702135492583200,3.994583,0.002147,0.000040,0.001438
1772702135502632400,4.004633,0.001093,-0.000248,-0.001851
1772702135512682200,4.014682,-0.000994,0.001144,-0.000875
1772702135522731300,4.024731,0.000710,-0.000132,-0.000827
1772702135532781300,4.034781,-0.001740,0.001325,-0.001484
1772702135542830600,4.044831,-0.000002,-0.001273,0.002564
1772702135552880600,4.054881,0.001798,0.000739,-0.000705
1772702135562930700,4.064931,-0.000459,-0.001271,0.000436
1772702135572979700,4.074980,0.001556,-0.000452,-0.000787
1772702135583029500,4.085030,-0.000132,-0.000566,-0.000383
1772702135593078500,4.095079,-0.000420,0.000839,-0.000203
1772702135603128600,4.105129,-0.002210,0.000844,-0.002504
1772702135613177600,4.115177,-0.001466,0.000233,-0.001040
1772702135623227600,4.125228,-0.000833,0.002301,-0.001699
1772702135633276400,4.135276,0.001849,-0.000474,0.001307
1772702135643326500,4.145326,-0.002449,-0.001502,-0.001183
1772702135653375700,4.155376,0.000598,-0.003684,-0.000171
1772702135663425800,4.165426,-0.000673,0.000327,-0.000280
1772702135673474600,4.175475,-0.002171,0.001556,0.000140
1772702135683524600,4.185525,-0.001234,0.000329,0.000483
1772702135693573400,4.195573,0.000668,0.001013,0.000281
1772702135703623400,4.205624,-0.002735,-0.000603,0.000079
1772702135713672700,4.215673,-0.002811,-0.000746,-0.000311
1772702135723722800,4.225723,-0.000931,0.001426,0.000350
1772702135733771500,4.235771,-0.000957,0.000930,0.001000
1772702135743821600,4.245822,0.003204,-0.002483,-0.001058
1772702135753870600,4.255871,-0.000971,0.001262,-0.000826
1772702135763920600,4.265921,0.000900,0.001383,0.001473
1772702135773969700,4.275970,-0.002063,-0.001399,-0.001186
1772702135784019500,4.286020,0.001237,-0.000483,0.000264
1772702135794069500,4.296070,0.001320,-0.001319,0.000673
1772702135804118500,4.306118,-0.000763,0.000285,0.002789
1772702135814168600,4.316168,0.000915,-0.000856,0.001328
1772702135824217600,4.326218,-0.001481,0.002437,-0.000260
1772702135834267600,4.336268,0.001105,-0.000088,0.001684
1772702135844316400,4.346316,-0.000601,-0.000468,-0.000149
1772702135854366500,4.356366,-0.000628,0.000596,-0.000795
1772702135864415700,4.366416,0.000588,0.000384,0.001434
1772702135874465500,4.376466,0.002895,-0.000288,-0.000918
1772702135884514600,4.386515,0.001414,0.001337,-0.000227
1772702135894564600,4.396565,0.001729,0.002160,-0.002285
1772702135904613400,4.406613,0.001910,0.000485,-0.002205
1772702135914663700,4.416664,0.000092,0.001508,0.000484
1772702135924712700,4.426713,0.000719,-0.000644,-0.001409
1772702135934762500,4.436762,-0.002030,0.001332,-0.004324
1772702135944811500,4.446812,0.000890,0.000149,0.001109
1772702135954861600,4.456862,-0.000152,-0.001586,0.000759
1772702135964910600,4.466911,0.000581,-0.000743,-0.000814
1772702135974960600,4.476961,-0.001487,0.000471,0.001114
1772702135985009700,4.487010,0.000407,0.000939,-0.000383
1772702135995059500,4.497060,-0.001263,0.000391,0.000696
1772702136005108500,4.507108,-0.000609,0.000692,0.001021
1772702136015158500,4.517158,0.000213,-0.000975,-0.001044
1772702136025207600,4.527208,0.001815,-0.001711,0.000188
1772702136035257600,4.537258,-0.000747,-0.000698,0.000411
1772702136045307600,4.547308,-0.000198,0.000367,-0.000583
1772702136055356400,4.557356,-0.000443,0.001714,-0.001304
1772702136065406500,4.567406,0.000077,-0.000466,-0.001284
1772702136075455700,4.577456,-0.001417,-0.000442,-0.000814
1772702136085505500,4.587506,0.001613,0.000124,-0.000964
1772702136095554600,4.597554,0.000086,0.000390,0.000136
1772702136105604600,4.607604,-0.001582,-0.000321,-0.001367
1772702136115653600,4.617654,-0.001878,0.000243,-0.001518
1772702136125703700,4.627704,-0.002015,-0.000107,-0.001068
1772702136135752700,4.637753,-0.000689,-0.002346,0.000713
1772702136145802500,4.647802,-0.001688,0.001253,-0.000790
1772702136155851500,4.657852,0.002173,0.001193,0.001587
1772702136165901600,4.667902,-0.000852,0.002957,0.001364
1772702136175950600,4.677951,-0.001976,0.000540,0.000081
1772702136186000600,4.688001,-0.001343,-0.000504,-0.002344
1772702136196049700,4.698050,-0.000942,-0.002285,0.000571
1772702136206099500,4.708099,-0.000871,0.000526,0.000106
1772702136216148700,4.718149,-0.000989,-0.000594,-0.000365
1772702136226198800,4.728199,0.000428,-0.001470,0.000741
1772702136236247600,4.738248,0.000450,0.000966,-0.001406
1772702136246297600,4.748298,-0.002474,-0.001367,-0.002424
1772702136256346400,4.758346,-0.000896,0.000089,0.001115
1772702136266396400,4.768396,-0.001893,-0.001539,0.000315
1772702136276446500,4.778447,0.000380,-0.002623,-0.001932
1772702136286495700,4.788496,-0.000094,0.001618,-0.000189
1772702136296545500,4.798546,0.000573,-0.000887,0.003581
1772702136306594600,4.808594,-0.001764,-0.000715,0.001674
1772702136316644600,4.818645,-0.000188,0.000707,-0.000463
1772702136326693600,4.828694,0.002164,0.000003,-0.001735
1772702136336743700,4.838744,-0.001651,-0.000217,0.001225
1772702136346792400,4.848792,0.000657,-0.001974,0.000849
1772702136356842500,4.858843,0.001095,-0.004349,0.000673
1772702136366891500,4.868892,0.004770,-0.000187,0.003130
1772702136376941600,4.878942,-0.000608,-0.000097,0.000564
1772702136386990600,4.888990,0.002239,-0.001848,0.001557
1772702136397040600,4.899041,-0.002919,0.002670,-0.001139
1772702136407089400,4.909089,-0.001742,0.000149,0.000100
1772702136417139500,4.919139,-0.001220,0.000861,0.000265
1772702136427188700,4.929189,-0.000954,-0.001519,-0.001001
1772702136437238800,4.939239,0.000381,-0.000821,0.000584
1772702136447287600,4.949288,0.001547,-0.002590,0.000447
1772702136457337600,4.959338,0.001028,-0.001519,0.000674
1772702136467386400,4.969386,0.001030,0.000301,0.000707
1772702136477436400,4.979437,-0.002857,-0.000924,-0.000406
1772702136487485700,4.989486,-0.003041,-0.000577,0.000949
1772702136497535500,4.999535,-0.000837,0.000276,0.000613
